,Tweet index,Label,Tweet text
25,26,1,<USER> hmm... let me think about that #sarcasm
26,27,1,"If you wanna look like a badass, have drama on social media #not"
27,28,1,How dare Charles Barkley have an intelligent conversation about race. #sarcasm #CharlesBarkley
28,29,0,"<USER> I think the general rule is, if it's open all night, pull an all-nighter."
29,30,0,Natalie Prass - Bird of Prey: <URL> via <USER>
30,31,0,Nooooooooooo again it's on!!! #PickANewSong #CantStandIt
31,32,1,"Being a hipster now is so mainstream. Oh, the irony. #hipster #irony"
32,33,0,<USER> exactly and we are fighting like animals
33,34,0,<URL> #TeenAnalCasting #Top Top 50 Christian Songs For 2012
34,35,0,The girls on #SororitySisters thought they'd get rich and famous but instead they be like... <URL>
35,36,0,"Speaking of #country #music albums, anyone else think #SundownHeavenTown feels more like a #TimMcGraw album than, say, his previous three?"
36,37,0,<URL> #TeenAnalCasting #Sex Sex and the City 2 Movie Casting Auditions NYC Summer 2009
37,38,0,"season 6 episode 3 carries outfit, simple & chic ::OK_hand:: <URL>"
38,39,1,Well got the truck buried today perfect way to start a rainy Wednesday work day off #not #annoyed #pissed
39,40,1,"On the train and surrounded by posh people, I'm so at home! #not #stickoutlikeasorethumb"
40,41,1,Stupid #doctors visits is gonna bury me!! Now that's #irony
41,42,1,"Love the way <USER> says fault from last night will be fixed by 4pm, only to see a man in a van pull up at 4pm to fix the fault #irony"
42,43,1,Planning a vacation instead of studying.... My priorities are in line. #NOT
43,44,0,Dan said he's going to have a sign for me at the airport when I fly in lol #SoCute #3MoreWeeks
44,45,1,You decide to go on vacation without me sleep? Reaaaal nice. #considerate #not ::unamused_face::::ZZZ::
45,46,0,<USER> No sugar during christmas time? :(
46,47,1,Can't wait to have an afternoon schedule because of you. It's gonna be so much fun #not
47,48,1,<USER> 180 dead on 26/11 n more than 10k our ppl killed in terror attacks till date but not 1 paki show sympathy 2 them #irony
48,49,0,the ONLY time a crime becomes a federal crime <USER> <USER> <USER> <USER> <USER> <USER>
49,50,0,this music is for the people and not for the money. peace and love. <URL> #KINGLIFE
50,51,1,Rangers league game with Alloa moved because of the Petrofac Cup final in April... #irony
51,52,0,How to Find a Life Coach (& the questions you need to ask before hiring one) <URL> via> <USER>
52,53,0,I wonder what was the holiday rituals for true Africans
53,54,1,Been at the ER now since 10... #yay #not
54,55,0,<USER> Suhs been clean for 2 years and has only been in the league for five don't act like he was dirty for 10 years#not biased my ass
55,56,0,"<USER> <USER> thank you studs for perfecting and teaching my bench, respectively. Props on form from lifters in AL. #DYEL"
56,57,0,Haley approves of her new hammock ::mouse_face:: #ratsofinstagram <URL>
57,58,1,"30 years on, people still haven't got justice they deserve. #BhopalGasTragedy Yet another brilliant job done by the Americans #sarcasm"
58,59,0,"Pips who drop out of school n have Kirya as 'eir role model tht ey wana sing too..guy spix Portuguese,French,english...#Not a school dropout"
59,60,0,Free Pets and Animals Books #freebiebookdownload <URL> #Pets
60,61,0,<USER> There will be no next employer in NFL for Trestman. He was a disgraceful hire and never stood a chance.
61,62,1,Loooovvveeeeeee when my phone gets wiped -.- #not
62,63,1,Painting all cops with a broad brush because of the actions of a few is the same logic racists use. #Irony
63,64,1,Don't know if I can handle this crazy 11-2 shift. It's so long I might pass out on the job! #sarcasm
64,65,1,I just love being ignored::smiling_face_with_smiling_eyes::|#not::unamused_face::
65,66,1,"#Irony RT <USER>: If you're going to give someone a scathing, 1-Star review for poor grammar, FFS use proper grammar."
66,67,1,Produce Mobile Apps #not <URL> <URL>
67,68,1,Decide that you want it more than you are afraid of it. -Bill Cosby|#irony
68,69,0,"Finally finished the first season of #VeronicaMars. Move over, #CliffHuxtable. Keith Mars is the new sheriff--er, ultimate #TV dad--in town."
69,70,0,Merry Christmas to all those soldiers out there that couldn't make it home! I love you all ::red_heart::
70,71,0,About as relevant as Michael Sam and Jason Collins. RT <USER>: Major League Baseball umpire Dale Scott comes out as gay.
71,72,0,Getting Final Jeopardy correct on Kids Jeopardy boosts my self-esteem
72,73,1,itsfunny bc people think im quiet|but im just listening toeveryones convos|and figuring out ur weaknesses|todestroy u later in life #sarcasm
73,74,0,"Woke Up , showered , made a lunch and got ready for work only to realize that I have the whole weekend off. ::grinning_face_with_sweat::"
74,75,0,<USER> <USER> <USER> <USER> <USER> How many of those jobs earn #middleclass wages? #Economics #Math #Z
75,76,1,I reckon straight women fancy victoria secret models more than straight men do #victoriasecret #irony
76,77,0,Incredible insight on the <USER> #bornrisky campaign: <URL> #amputee #movement #equality #art #prosthetics
77,78,0,Love #hiphop mix tapes or have a mixtape to promote check out <URL> follow them on twitter #undergroundhiphop
78,79,0,"Extended cut ""NICHA"" <URL> #trailer #spoof #film #dramatic #action #film2014 #youtube #fightscenes"
79,80,0,<USER> Stunning work. #british #textiles #footwear #madeinbritain #not-a-nike-clone
80,81,0,<USER> <USER> Sent it but too slow. I had already posted.
81,82,0,#FEMALECONDOM #anally #vaginally #prevent STD's/HIV/pregnancy #latex #free #NOT #Restrictive/tight #women/gay men <URL>
82,83,0,Little cutie #Chico #Dog #Doggy #Puppy #Sweet #Cute #UK #Black #Biscuit #Not #Mine #Mini #Miss #My <URL>
83,84,1,<USER> Niagra Falls tho... Really? #irony #LOL
84,85,1,"If we win against Poland and Scotland, does that put us 65th in the world rankings. <USER> <USER> #Sarcasm"
85,86,0,#Myanmar #men #plead #not #guilty to #murder of #British #tourists. <URL> via <USER>
86,87,1,"Since the tribunal was established 14 years ago, no complaint against the intelligence services has ever been upheld. #trustthesystem #not"
87,88,1,<USER>: Garner protesters chant 'F*ck Fox News' despite Fox agreeing with them <URL> #EricGarner #Irony
88,89,0,"<USER> After 1989, why did NATO need to expand?"
89,90,1,The #Irony of playing this song on my way to #work |#NoMoney #PartTimeCooks blackmossptc thanks for... <URL>
90,91,0,You are taking your responsibilities so seriously today that i... More for Leo <URL>
91,92,1,<USER> <USER> <USER> <USER> <USER> we get it right for business the trickle down fairy will do the rest #NOT
92,93,0,can you not understand that not EVERYTHING is about the President? <USER> <USER> <USER> <USER>
93,94,1,When you're in the doctors waiting room and hear a baby in the back screaming her lungs out is always a reassuring feeling #not
94,95,1,"Well now the festive season has begun, let's take a moment to reflect on how much more royalties Slade and Wizard will get #sarcasm"
95,96,0,"The last day of the year and I will be tweeting on my major highpoints of the year ...good, bad and ugly"
96,97,0,MB forgot to move the elf on shelf and now 10 is asking me if Christmas is real. ::sad_but_relieved_face::<USER>
97,98,0,"<USER> happy new year, da! Thanks sobra for this year ::thumbs_up::::thumbs_up::"
98,99,0,WATCH: #Megatron from #Transformers Rant About Social Media <URL> #Irony
99,100,0,<USER> <USER> #not #working when are we able to download games we paid in good faith? #psn start working again? <URL>
100,101,1,I just wrote a 13 page paper... I was awfully tired when I was writing it and now I can't sleep. #irony
101,102,0,<USER> happy birthday Skip! We will always love you! #Phillies #legend
102,103,0,"or a trout, or northern pike|<USER> <USER> <USER> <USER> <USER>"
103,104,0,One of my favorite things to do is to make people wonder...it was completely unintentional but buying Bogs mud boots in a dress will do it
104,105,0,"Watching Sanjay, <USER> ... Getting the start vs. Butler and liking what I see! #Minny"
105,106,1,There's no better way to start the week than to get your wisdom teeth taken out at 8 am!!! #not ::smiling_face::::smiling_face_with_smiling_eyes::::flushed_face::
106,107,1,The most exciting way to start a Friday: a presentation on structurally deficient bridges. #sarcasm #lobbyinglife
107,108,0,New shirt #new #shirt #im #sorry #its #just #i #literally #do #not #care #at #all <URL>
108,109,0,<USER> <USER> <USER> It wasn't for one person. It was a business expense.
109,110,0,HAHAHAHA!! Oops.......I'm addicted to <USER> Tweets sooo FUNNY! You Got to follow him for #HILARIOUS #SARCASM #tweets #RT.
110,111,0,<USER> <USER> <USER> absolutely loved it! Well done all involved!
111,112,0,"<USER> That was the case, not the recording.So comparing the two is apple & oranges."
112,113,0,Wow...lol||Need cash in your hands today? Go to <URL> #not #wun #not #mca... <URL>
113,114,0,At least I don't have to clean the floor
114,115,1,Incidentally the foreword for movie #BhopalAPrayerForRain is by Subroto Roy Sahara - saying - justice delayed is justice denied. #Irony
115,116,1,<USER> Our 3 losses followed bye weeks & an FCS team. Do we get rid of those next year? #sarcasm
116,117,0,#AskSuperwomanLIVE if you could swim in any liquid besides water what would you swim in?<USER> |4
117,118,0,One of the most embarrassing losses <USER> Ever. #WTF
118,119,0,<USER> untrue - its Cutler's fault
119,120,1,#Malala Yousufzai receives #NobelPeacePrize and #Pakistan ranks in top 10 dangerous countries !!! #irony
120,121,0,<URL> #Not so Ugly Christmas Sweater red with red snowflakes & sequins cardigan 1X XL <URL>
121,122,1,Testing water temperatures #excitingtimes #Not
122,123,1,Waking up with your cat attacking your hand is always delightful..... #not
123,124,0,"May not have hung out with you as much as some people, but every time we did it was a blast! You... <URL>"
124,125,0,<USER> the #USA is #NOT a #Democracy. The #USA is a #Republic from of #Goverment! Do you #Know #what the #Pledge of #Allegiance say's?
125,126,1,I blame my mom. Mother of the Year #sarcasm
126,127,1,Pulling my books out to prepare to organize my new bookshelves caused me to forget to bring my book today. #irony
127,128,0,"<USER> <USER> To be fair, you didn't use the mandatory #sarcasm hashtag :P"
128,129,0,"'I like the hope Jan Ellis writes with, the precision of the prose, and also the #humour and #irony she brings.' <URL>"
129,130,0,Girls just wanna have fun#work#not#friends#only#dance#drinks#antennagrouprocks by mariag... <URL> <URL>
130,131,1,"The Bay Area storm is so big that tons of people's work was canceled today, causing me to be early to mine. #irony #stormageddon"
131,132,0,<USER> I'm from the UK and I honestly think your a goddess! I love how you speak your mind but have a gentle side. #love #PattiKnows
132,133,1,Leaving whilst its dark is fun. #not
133,134,0,<USER> please note #sarcasm in last tweet before you kill yourself ;) many good pros including <USER> can show you best usage
134,135,0,<USER> my mum to be back with us for Xmas ::Christmas_tree::
135,136,1,"<USER> Even though <USER>'s got more ex-wives than <USER> majors, I'm happy for that washed-up mess... #Not!! #Blocked"
136,137,0,<USER> Ucan MAKE MONEY #TWEETING this info w/ new app||<URL> <-News ||<URL> <URL>
137,138,0,Take me tooooo church #not
138,139,1,"A 'republican move' which will 'effectively rob the royals'. Kate's spending 32k on1meal, who is being robbed? #irony <URL>"
139,140,1,#obama <USER> announce special urgent package for #Pakistan .. supported by <USER> to enhance their fight against obscurantists. #NOT
140,141,0,<USER> Shirota Yu and... Inoue Yoshio? He was in Mozart! apparently.
141,142,0,"Looking for quality music check> <USER> hot record ""What About"" <URL>"
142,143,1,"how is it possible that somebody so interesting is also so, so, so boring? #irony #what"
143,144,0,"<USER> Not going this time, we might have a chance! Fool me once, shame on you, fool me twice..... #fuckthat"
144,145,0,<USER> Minky Wale tail fritter for price of a bijoux flat in Port Talbot.
145,146,1,".<USER> is the first to cut to ads during primetime to proudly announce that they're ""putting journalism first"". #Irony #NLprimetime"
146,147,1,".<USER> @/RBRNetwork1 <USER> <USER> I think it's your white skin. Or ""racist DNA"". He's a geneticist too, did ya know? #not"
147,148,0,#hi #good #morning #instadaily #snapchat #selfie #comment # #sleep #do #not #wake #up @ Happy <URL>
148,149,0,I JUST WANT TO BE DONE WITH FINALS #4hoursleft
149,150,0,"1 bed flat #ToLet £550 pcm (£127 pw)|Humphrey Middlemore Drive, Harborne, #Birmingham B17|<URL>"
150,151,1,So there used to be a crossfit place here.... #irony #pizzawins <URL>
151,152,0,When I start singing songs from Once More With Feeling to myself while at work... #Buffymusical #stuckinmyhead
152,153,0,"I'm heading off, but need to say this! ""Just because I am concerned for my country, and it's people-Does #NOT make me a racist! #Terrorists"
153,154,0,Work hard in silence; let success make the noise.
154,155,0,<USER> <USER> now what has he said/done??
155,156,1,Watching Alison Jackson's portfolio of work #eurobest2014 seems she's cracked it. Celebrity + stunt = #viral #sarcasm
156,157,1,Spending the majority of my day in and out of the doctor has been awesome. #sarcasm
157,158,0,<USER> - p.s. strong tweet. particularly Horatio's involvement in the matters #bloodlinecontinues xxx
158,159,1,<USER> #spnews #yxe I hope you weren't driving when you took that picture. #irony
159,160,0,My beautiful Belles #3daughters#lucky #me #havefun @ Wicklow ::foggy:: <URL>
160,161,1,"<USER> Yeah thanks for messing me about and then not delivering on the product, i feel really great about how this went down!! #Not #Thanks"
161,162,0,"<USER> aha, but white girl drinks make me 'so so cray tipsy'"
162,163,0,This is definitely me! ::beaming_face_with_smiling_eyes::|#me #sarcastic #sarcasm #ecards #ecard #somecard #tease #funny #lol... <URL>
163,164,1,Christmas alone::smiling_face_with_smiling_eyes:: how nice #not
164,165,1,work Wednesday-Sunday .. #yay #not #moneytho ::weary_face::::loudly_crying_face::::money_bag::::unamused_face::
165,166,1,<USER>: Gavy is one rude motherfucker. *Subtweets me* *Calls me a motherfucker* #Irony
166,167,0,"Access to housing is not a fundamental human right, according to Ontario courts: <URL> #onpoli #TOpoli #cdnpoli"
167,168,1,"<USER>: Been friendzoned too many times in my life, the perks of being the good guy #Sarcasm #Lifeall my life this has happened"
168,169,1,<USER>: You want to see something Irish!!Of all the reasons to be closed ::face_with_tears_of_joy::::face_with_tears_of_joy::::face_with_tears_of_joy:: <URL> #irony
169,170,0,And then my sister should be home from college by time I get home from babysitting. And it's payday. THIS IS A GOOD FRIDAY
170,171,0,"Oh dear, some people don't get #irony ::flushed_face::"
171,172,1,Yay for Fire Alarms at 3AM #not
172,173,1,"I just drank a healthy, homemade, all fruit smoothie...in a <USER> beer glass. #irony"
173,174,1,Should I buy these? And become a full time hipster? Lol! #NOT..... <URL>
174,175,1,Just paid $2.59 for gas! #ThanksObama #sarcasm
175,176,0,You are most welcome! Loved the post :D <USER>
176,177,0,Can't take my eyes off you|<URL> via <USER>
177,178,1,I am so ready for Monday. ::person_gesturing_OK:: #sarcasm
178,179,0,<USER> rollins was so pissed off haha
179,180,0,<USER> I do love a chilled night in. Saves having a hangover to::face_with_tears_of_joy:: thank you hun X
180,181,1,<USER> if it got the attention of the smartass to comment that.. Didnt it work anyway?? #irony
181,182,1,When you're sick and you feel bad for your cells cause they're fighting hard for you. #blessed #appreciative #sarcasm #kinda
182,183,0,Does this look properly #shaded?? I think #not :-(|#shading #techniques #cube #3d #view #learning #damn I #suck #Sob! <URL>
183,184,0,Company profile FORGET ME NOT PET CEMETERY - <URL> #FORGET #ME #NOT #PET #CEMETERY
184,185,0,<USER> guys!!! you've just smashed it!! #WhereDoBrokenHeartsGo #XFactorFinal
185,186,0,i wanna be at home already
186,187,0,Just realized my last final is tomorrow. FAAAAA-
187,188,1,<USER> <USER> <USER> <USER> <USER> Christian Europe translated Islamic manuscripts #Irony <URL>
188,189,1,Aaaaaand now I've found out that Chrome slows down downloads when the screen saver activates. Just makes me love it more #sarcasm
189,190,0,The fact that this time next week I'll be getting my wisdom teeth out ::confounded_face::::speak-no-evil_monkey:: #chipmunk
190,191,1,<USER> Way to lay out yesterday and put it all on the line #GoodLeader #Sarcasm
191,192,0,Two years later & gingerbread house making still makes me cry.
192,193,1,Amar Singh gives A+ rating to the Modi govt but Arun #Shourie says more is said than done in present govt #Irony #Politics
193,194,1,<USER> <USER> <USER> |Thats a twist|Algorithms to cause more congestion & increase pollution|Too bizarre to be true #not
194,195,0,<USER> #sarcasm is a service I offer.
195,196,0,<URL> #PhatSexyAss #Picnic Picnic Porked Tiffany
196,197,1,I'm absolutely positive that Coaches love it when parents tell them how to coach and run their program. #sarcasm #NOT #sticktoparenting
197,198,0,Nice touch. All the bar staff in the ground wearing #saintsfc t shirts
198,199,1,<USER> trust me it will be out of form Scandinavian reef again to. <USER> do love <USER> I see::unamused_face::::see-no-evil_monkey:: #irony #FCBarcelona #mcfc
199,200,1,i literally love when someone throw me in at the deep end #irony #tough #life
200,201,0,"Agree with that... #we #are #not #mind #readers #haha||#Repost 9gag ⁰You may think we are, but we are... <URL>"
201,202,0,Day ninth December to have a pint at the boars head|#not really still in bed ::smiling_face_with_smiling_eyes:: <URL>
202,203,0,Speed cameras in Whipton by village shops. & yes it Takes 5 police officers!! ::oncoming_police_car:: #waste #of #money #does #not #take #five #individuals ::face_with_tears_of_joy::::police_car_light::::police_car::
203,204,1,Picked an excellent day to get my hair done ::unamused_face:: #sarcasm
204,205,0,<USER> his daughter is painting his toes! That is a parenting WIN in my book.
205,206,0,Can't say no to that <USER> try now. Lets go <USER> we can do this #COYQ
206,207,0,"ABC Takes A Look At ""The Turkey Song"" by <USER> - Make It A Classic #Thanksgiving - <URL>"
207,208,1,Waking up with a pounding headache is just what I need for this final #sarcasm
208,209,0,Can always count on you to speak to me on here then delete the messages so It looks like I'm talking to myself. ::unamused_face:: <USER>
209,210,0,Stop by and pick up Alexandra's book with a coupon! <URL>
210,211,0,<USER> I swear we must be twins
211,212,0,Some days are just better than others..
212,213,0,"After getting a total of 4 hours of sleep in 2 days, I FINALLY got good sleep last night::beaming_face_with_smiling_eyes::"
213,214,0,"Her name is not Superwoman, Wonder Woman, nor Dorothy from the Wizard of Oz. Women of Excellence <URL>"
214,215,1,I didn't realize Boston Coach also operated in Chicago #irony #brands
215,216,0,"<USER> and that ""somebody"" thought you were Padoin sister LoL !!! #SarcasmFail"
216,217,0,Once again <USER> is re writing history re: #CubaEmbargo ! *primal scream* #tcot
217,218,0,"Wow: Look what the NFL Rams player who did ""Hands Up, Don't Shoot"" pose has been arrested for | <URL> via <USER> #ferguson"
218,219,1,Someone needs to stop me before I kill someone ::enraged_face:: love waking up in the worst fcking mood #Not
219,220,1,What to do with that old #motherboard you have laying around. #NOT <URL> #guitarpicks
220,221,0,Joe Cole just casually walking past...
221,222,0,Am I the only one who finds it very stressful when the #OrionLaunch feed keeps buffering...?!
222,223,1,<USER> No ... now someone will start a rumor of $ABBV pricing their HCV drug same or higher than $GILD #sarcasm
223,224,0,Never seen the gym so packed
224,225,0,::red_question_mark::::red_question_mark::GOT MENTIONS ::red_question_mark::::red_question_mark::||#MGWV #AutoFollow #RETWEET #RTMUZZA #TEAMFOLLOWBACK #TFBJP #500aday #RT2GAIN ||::fast-forward_button:: <USER> ::fast_reverse_button::| |WHOS WANTS TO BE NEXT?
225,226,0,Remember to raise a glass of merry to those who are at work keeping the world safe on Christmas ::globe_showing_Americas::::Christmas_tree::::globe_showing_Asia-Australia::::Santa_Claus::::globe_showing_Europe-Africa::::snowflake::|::ambulance::::fire_engine::::police_car::::helicopter::::ship:: #essentialservice
226,227,0,"Wishing everyone a Happy, Healthy, and Prosperous New Year!!!"
227,228,1,"<USER> <USER> <USER> Yes, and conventional taxis drive verrrry safely. #pfft #sarcasm"
228,229,1,"Just ranted on and the moment I'm about to hit send, my ipod just died. #greatmorning #NOT"
229,230,0,30 week scan #not #long #now #exciting #memory #all #good #happy #clear #baby #boy @ Portlaoise... <URL>
230,231,0,<USER> Obama and Hillary convinced Ukraine that they would protect them if they essentially disarm. Need to keep at least one promise.
231,232,1,i just enjoy throwing up #not #hatethis #sick #wanna #go #to #school #for #once #take #me #away
232,233,1,<USER> I actually think he needs to use the youngsters in this reincarnation #irony
233,234,1,What a golden morning. ::unamused_face:: #not
234,235,0,Sleep. SLEEP YOU STUPID IDIOT I WANNA LEAVE MY ROOM
235,236,0,LIBERAL/#LEFTISTS USE #RACIST/SEXIST #LABEL FOR |#DISLIKES|MSNBC host Ed Schultz said RACIST #NOT to SUPPORT demand for #MINIMUM WAGE|#SAD
236,237,0,Read at <URL> the news '#Obama: #The #American #way #of #life #is #not #a #gift'
237,238,0,Really missing my momma today.. More than usual. I don't think today will be a good day
238,239,0,"<USER> Nevermind that, but do pray tell,would Scherzy still play Grizabella?"
239,240,1,Everyone wants the truth but nobody wants to be honest... #irony
240,241,0,I won't be surprised if shelling across pak border intensifies during Delhi Elections to change issues of election's. <URL>
241,242,0,Every inch of you is perfect from the bottom to the top UNLESS YOU'RE SKINNY #Shade #Sarcasm #TheMoreYouKnow
242,243,0,Take a look at those calves!!! ::smiling_face_with_sunglasses::::smiling_face_with_sunglasses::::face_with_tears_of_joy::::face_with_tears_of_joy:: ladies love the calves! #not #about #the #arms #its #about... <URL>
243,244,0,<USER> your tongue in cheek <USER> weigh in does nothing but instigate breed specific hate. Stick to reporting on tuques. #yyj
244,245,1,"<USER>: You think my mom and I would get along better, she's a middle child too. #irony #middlechildsyndrome"
245,246,1,"Isn't this blaming the victim? #sarcasm RT <USER> Every year, 600K college students are injured while drunk. <URL>"
246,247,1,that time when ward was mad because skye hide a secret from him #irony #skyeward #AgentsofSHIELD <URL>
247,248,1,"While we applauded ourselves on getting to the Moon, Carl Sagan spoke a truth we all denied.|#irony <URL>"
248,249,0,Can holidays last forever?? #happytimes #sundayout #mewearing #wyoustores #elenawearswyou #chanelboybag #chanel... <URL>
249,250,0,Watching <USER> trich vlogs helps me alot with my trich condition !! ::smiling_face::::two_hearts::
250,251,0,Photo: Orchid Tassel Chain Mermaid Dress $39.99 Onesize Leave email for invoice <URL>
251,252,0,<USER> this game is pathetic. How are they losing this game?
252,253,0,bromanceshmomance: #I just checked and he has zero#ZERO#mentions asking if Louis was there#NONE#NADA#not... <URL>
253,254,1,Being a light sleeper is the best. #not
254,255,0,schools in India praying for # #peshawarattack victims #PrayForPakistan ... <URL>
255,256,0,The only company I thought would be best for the thesis is unfortunately taken already... a year ago..
256,257,0,<USER> not worried about it. Whenevs ::winking_face::
257,258,0,<USER> <USER> #not enough; unfortunately.
258,259,0,<USER> . #please email me captainpc<USER>.com or contact through DM myself or <USER> . #I #have #DM #Address #details #but #not#had#reply
259,260,1,<USER> hahaha yeah I think so too cause you know how she loves her with all her heart ::face_with_tears_of_joy::::face_with_tears_of_joy::::face_with_tears_of_joy::.... #NOT ::water_pistol::.
260,261,0,"It's really #NOT #GOOD, too have the #REPUTATION for STEALING FROM GIRLS. <USER> & Mr. MASON,..expect a call,..(;"
261,262,0,"we need to stop using the words ""racist"" & ""racism"" <USER> <USER> <USER> <USER> <USER> <USER>"
262,263,0,<USER> <USER> Probably my favourite book. Couldn't put it down. 5Stars!
263,264,0,From what I can tell...most strippers belong right where they are #nocollegeneeded #adamsmith #specialization #strippers
264,265,1,"<USER> dualistic, as in good and evil? Right, because that doesn't apply to the real world.... #sarcasm #OrcsLive"
265,266,1,#Consensus of Absolute Hilarious #Irony – #MichaelMann to lecture on #Professional #Ethics for #Climate #Scientists? <URL>
266,267,0,5 dollar OBX 1 dollar Gboro gone #lockitin #lottoclub #bankopen #doumenturdeposit#not criminal <URL>
267,268,1,I may or may not have put <USER> at the top of <USER> tree soon as he likes Christmas time... #Sarcasm <URL>
268,269,0,"Regarding my #ATT case; I've contacted the BBB, FCC, and my States Attorney General. next... #WFAA #not #stopping"
269,270,0,Acronyms because we're cool as fuck. Judge me. <URL>
270,271,0,Only a true nightshift person would understand this #nightshift #hardcore #teamwork #not #always... <URL>
271,272,0,"actually, it wasnt, it was purely economics <USER> <USER> <USER> <USER> <USER> <USER> <USER>"
272,273,1,Sunday is such a fun day to study #not #ew #saywhat
273,274,1,Reunited with my pump this morning. #yay #not ::persevering_face::
274,275,1,"My dad's still gonna get me santa's gifts since it's my last year before 18, but I really don't know what to ask for... #irony"
275,276,1,Remember that one time I worked both jobs while sick and it didnt suck at all... #sarcasm #notworthit
276,277,0,I'm really excited for next semester
277,278,0,"<USER> <USER> Actually, even delivery won't save some. O voted to let born alive die. Also, look up ""4th trimester abortions""."
278,279,0,good luck finding someone to take the other side of that bet LOL <USER>
279,280,1,It is good that very few businesses/govts in EM economies have borrowed much via dollar-denominated loans from international banks. #Sarcasm
280,281,0,<USER>: ::raising_hands::::raising_hands:: <URL> #fitfam #fitness #health
281,282,0,GTA #San #Andreas #2 #is #not #coming #in #2015: One media has released that GTA San Andreas 2 is coming in 2015... <URL>
282,283,1,What a great way to start the day!! #Not ::angry_face::
283,284,0,<USER> I wonder what % of that 43% agree on what a private cloud is
284,285,0,If i were to ask. I want to stay here for as long as possible..|#thinking
285,286,1,<USER> <USER> <USER> Just wait till Cleveland comes again! #sarcasm
286,287,1,"'Liberated' Iraq -- 2014 One of Bloodiest Years with More than 36,000 Victims: <URL> Thank you, Western liberators #sarcasm"
287,288,0,<USER> one hope this gets a RT! #recycling #roses #holly #wreath #MerryChristmas <URL>
288,289,0,"<USER>: Tag a teammate who is so bad, he runs the line every week. <URL> I'm sorry to say it's <USER>"
289,290,0,<USER> easiest CL group with two rubbish teams but we won only 1 CL game - even that lucky last minute pen#not good enough#gutted
290,291,1,No one up? Okay cool #not
291,292,0,#np #NowPlaying #NowListening #Music #Don't Let Her Pull You Down by #New Found Glory from the #album: #Not With... <URL>
292,293,1,"Here we go again, thanks to all that claim to cover WVHS hoop #NOT|Highlanders beat Parkersburg 76-75 on last second shot by <USER>"
293,294,0,Long day and its not going to be possible without my good friend #coffee
294,295,1,Just loveeee driving upstate in the snow #not
295,296,0,"If you know people who could talk power-dressing and social media marketing, please let me know. Thanks"
296,297,1,I love getting up at 4 30 so I can wait on other ppl! #sarcasm
297,298,0,"Faux Leather Size Zipper Sleeveless Scoop Back Midi Dress|Size:s, m, l|Price:$39.99|Leave email for... <URL>"
298,299,1,and as much as I want to connect .. I like only the people who dont want to .. #Irony #Why oh why?
299,300,0,<USER> I saw a leaf blowing in the breeze. You could yell at that if you wanted to?
300,301,1,<USER> hold on a minute. Are you saying All blonde white women look the same?? #sarcasm
301,302,1,<USER> Gotta love those racially based awards! #not
302,303,0,"The best love is the kind that awakens the soul, and makes us reach for more...::sparkling_heart::"
303,304,1,clashupdate #not <URL>
304,305,0,<USER>: Super Junior's Henry asks sasaeng fans to let him sleep|<URL> <URL> Henry oppa >^<
305,306,0,I have officially surrounded myself with the most amazing people ::smiling_face_with_smiling_eyes::
306,307,0,<USER> <USER> republicans suck more at identifying #irony than alanis morissette.
